港澳频道,#genre#
AXN电影台,http://iptv.4666888.xyz/iptv.php?id=20254
Now星影粤,http://iptv.4666888.xyz/iptv.php?id=20086
TVB翡翠剧集,http://iptv.4666888.xyz/iptv.php?id=20099
TVB黄金华剧,http://iptv.4666888.xyz/iptv.php?id=20100
TVB亚洲剧,https://stream1.freetv.fun/tvbsya-zhou-14.m3u8
TVB亚洲剧,https://stream1.freetv.fun/tvbsya-zhou-2.m3u8
TVBS台剧,http://iptv.4666888.xyz/iptv.php?id=20193
爱尔达影剧台,http://iptv.4666888.xyz/iptv.php?id=20230
爱尔达影剧台,https://stream1.freetv.fun/ai-er-da-ying-ju-2.m3u8
八大戏剧台,http://iptv.4666888.xyz/iptv.php?id=20199
东森电影台,http://iptv.4666888.xyz/iptv.php?id=20211
东森戏剧台,http://iptv.4666888.xyz/iptv.php?id=20207
靖天戏剧*,https://stream1.freetv.fun/jing-tian-xi-ju-2.m3u8
靖天戏剧台,https://cdn.iptv8k.top/dl/jrys.php?id=318&time=20240926215313&ip=111.229.253.40
龙华电影台,http://iptv.4666888.xyz/iptv.php?id=20240
美亚电影台,http://iptv.4666888.xyz/iptv.php?id=20239
美亚电影台,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影港,http://iptv.4666888.xyz/iptv.php?id=20120
美亚电影台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
美亚电影国流[716p],http://bxtv.3a.ink/api.php?id=meiya
民视戏剧台,http://iptv.4666888.xyz/iptv.php?id=20219
三立戏剧*,https://stream1.freetv.fun/san-li-xi-ju-4.m3u8
台湾戏剧台,http://iptv.4666888.xyz/iptv.php?id=20320
天映电影台,https://migu.188766.xyz/?migutoken=bd8940d3ff7170c54b489a589ed4227f&id=Celestial&type=dy
天映电影台,https://stream1.freetv.fun/tian-ying-dian-ying-1.m3u8
纬来电影台,https://smart.pendy.dpdns.org/Smart.php?id=videolandmovie
纬来电影台,https://stream1.freetv.fun/wei-lai-dian-ying-1.m3u8
AXN,https://stream1.freetv.fun/axn-4.m3u8
LIVE三立,http://iptv.4666888.xyz/iptv.php?id=20169
TVB翡翠*,https://stream1.freetv.fun/fei-cui-1.m3u8
TVB翡翠*,https://stream1.freetv.fun/fei-cui-10.m3u8
TVB翡翠*,https://stream1.freetv.fun/fei-cui-4.m3u8
TVB翡翠马来,http://iptv.4666888.xyz/iptv.php?id=20068
TVB翡翠新加坡,http://iptv.4666888.xyz/iptv.php?id=20067
TVB华丽台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB经典*,https://stream1.freetv.fun/tvbqian-xi-jing-dian-2.m3u8
TVB明珠*,https://stream1.freetv.fun/ming-zhu-4.m3u8
TVB明珠英,http://iptv.4666888.xyz/iptv.php?id=20071
TVB武侠,http://iptv.4666888.xyz/iptv.php?id=20104
TVB武侠粤,http://iptv.4666888.xyz/iptv.php?id=20103
TVB无线新闻*,https://stream1.freetv.fun/wu-xian-xin-wen-1.m3u8
TVB星河,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB星河,https://migu.188766.xyz/?migutoken=5708e7797e9542cfc184d2f2a778a16a&id=Xinhe&type=dy
TVB星河,http://iptv.4666888.xyz/iptv.php?id=20102
TVB星河国语,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB星河国语,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB星河台XingHe,https://smart.pendy.dpdns.org/Smart.php?id=Xinhe
TVB星河粤,http://iptv.4666888.xyz/iptv.php?id=20101
TVB,https://stream1.freetv.fun/atv-plus-1.m3u8
TVB,https://stream1.freetv.fun/atv-plus-2.m3u8
TVB1,http://iptv.4666888.xyz/iptv.php?id=20095
TVBClassic,https://smart.pendy.dpdns.org/Smart.php?id=Tvbclassic
TVBEntertainment,https://smart.pendy.dpdns.org/Smart.php?id=Tvbentertainment
TVBJ1美,http://php.jdshipin.com/PLTV/iptv.php?id=j1
TVBJ1,http://iptv.4666888.xyz/iptv.php?id=20096
TVBJ1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
TVB,https://smart.pendy.dpdns.org/Smart.php?id=Tvbjade
TVBS精采,http://iptv.4666888.xyz/iptv.php?id=20191
TVBS综艺台,http://iptv.4666888.xyz/iptv.php?id=20192
TVBSNew,http://iptv.4666888.xyz/iptv.php?id=20309
TVBS,http://iptv.4666888.xyz/iptv.php?id=20188
八大第1,https://stream1.freetv.fun/ba-da-di-yi-1.m3u8
八大第一台,http://iptv.4666888.xyz/iptv.php?id=20197
八大精采,http://iptv.4666888.xyz/iptv.php?id=20201
八大综合台,http://iptv.4666888.xyz/iptv.php?id=20198
东森LIVE,http://iptv.4666888.xyz/iptv.php?id=20308
东森Yoyo,http://iptv.4666888.xyz/iptv.php?id=20213
东森,http://iptv.4666888.xyz/iptv.php?id=20210
东森超视*,https://stream1.freetv.fun/dong-sen-chao-shi-6.m3u8
东森超视34.5,http://iptv.4666888.xyz/iptv.php?id=20208
东森卫视,https://stream1.freetv.fun/dong-sen-mei-zhou-wei-shi-1.m3u8
东森新闻台,http://iptv.4666888.xyz/iptv.php?id=20174
东森新闻美,http://iptv.4666888.xyz/iptv.php?id=20175
东森亚洲新闻台,https://stream1.freetv.fun/ya-zhou-xin-wen-1.m3u8
东森洋片*,https://stream1.freetv.fun/dong-sen-yang-pian-6.m3u8
东森洋片,http://iptv.4666888.xyz/iptv.php?id=20212
东森洋片,https://cdn.iptv8k.top/dl/jrys.php?id=232&time=20240926215313&ip=111.229.253.40
东森洋片,https://stream1.freetv.fun/dong-sen-yang-pian-3.m3u8
东森综合*,https://stream1.freetv.fun/dong-sen-zong-he-2.m3u8
东森综合台,http://iptv.4666888.xyz/iptv.php?id=20206
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top
番薯音乐台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
番薯音乐台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
翡翠台,https://migu.188766.xyz/?migutoken=199367a0499b91aba533a4e32357d4ec&id=jade_twn&type=dy
凤凰卫视*,https://stream1.freetv.fun/feng-huang-wei-shi-10.m3u8
凤凰卫视*,https://stream1.freetv.fun/feng-huang-wei-shi-3.m3u8
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰香港,http://iptv.4666888.xyz/iptv.php?id=20065
凤凰香港,http://iptv.4666888.xyz/iptv.php?id=20062
凤凰香港,https://migu.188766.xyz/?migutoken=0fb2d87f7ca146b4d275fd82e434b9a2&id=fhhk&pp=1
凤凰香港频备,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰中文,http://iptv.4666888.xyz/iptv.php?id=20063
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://iptv.4666888.xyz/iptv.php?id=20060
凤凰中文,https://migu.188766.xyz/?migutoken=5cd6b23ca0e2cc9f904026a0160af17d&id=fhzw&pp=1
凤凰资讯*,https://stream1.freetv.fun/feng-huang-zi-xun-12.m3u8
凤凰资讯*,https://stream1.freetv.fun/feng-huang-zi-xun-15.m3u8
凤凰资讯台,http://iptv.4666888.xyz/iptv.php?id=20064
凤凰资讯台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯台,http://iptv.4666888.xyz/iptv.php?id=20061
凤凰资讯台,https://migu.188766.xyz/?migutoken=1bf0a2948355448fd5906c75dc0be26b&id=fhzx&pp=1
公视,http://iptv.4666888.xyz/iptv.php?id=20185
公视新闻台,http://iptv.4666888.xyz/iptv.php?id=20203
华丽台（WahLaiToi）,https://smart.pendy.dpdns.org/Smart.php?id=Wlt
华视,http://iptv.4666888.xyz/iptv.php?id=20184
华视,https://stream1.freetv.fun/hua-shi-4.m3u8
寰宇新闻台,http://iptv.4666888.xyz/iptv.php?id=20176
寰宇新闻台湾台,http://iptv.4666888.xyz/iptv.php?id=20324
靖天卡通台,https://stream1.freetv.fun/jing-tian-qia-tong-1.m3u8
靖天映画台,https://cdn.iptv8k.top/dl/jrys.php?id=320&time=20240926215313&ip=111.229.253.40
靖天资讯*,https://stream1.freetv.fun/jing-tian-zi-xun-4.m3u8
靖天资讯台,https://cdn.iptv8k.top/dl/jrys.php?id=315&time=20240926215313&ip=111.229.253.40
龙华经典台,http://iptv.4666888.xyz/iptv.php?id=20245
龙华卡通台,http://iptv.4666888.xyz/iptv.php?id=20246
龙华卡通台,https://stream1.freetv.fun/long-hua-qia-tong-2.m3u8
龙华日韩台,http://iptv.4666888.xyz/iptv.php?id=20244
龙华洋片,http://iptv.4666888.xyz/iptv.php?id=20242
民视闽南台,http://iptv.4666888.xyz/iptv.php?id=20182
民视闽语,http://iptv.4666888.xyz/iptv.php?id=20216
民视新闻*,https://stream1.freetv.fun/min-shi-xin-wen-14.m3u8
民视新闻台,http://iptv.4666888.xyz/iptv.php?id=20177
三立台湾台,http://iptv.4666888.xyz/iptv.php?id=20202
三立新闻台,https://stream1.freetv.fun/san-li-xin-wen-4.m3u8
三立新闻加限,http://iptv.4666888.xyz/iptv.php?id=20170
三立综合台,http://iptv.4666888.xyz/iptv.php?id=20204
台视,http://iptv.4666888.xyz/iptv.php?id=20186
台视新闻台,http://iptv.4666888.xyz/iptv.php?id=20172
台视综合台,http://iptv.4666888.xyz/iptv.php?id=20220
天映,http://php.jdshipin.com/smt.php?id=Celestial
天映,https://stream1.freetv.fun/tian-ying-1.m3u8
天映cm,http://iptv.4666888.xyz/iptv.php?id=20249
天映经典*,https://stream1.freetv.fun/tian-ying-jing-dian-2.m3u8
天映经典*,https://stream1.freetv.fun/tian-ying-jing-dian-4.m3u8
天映经典2,http://iptv.4666888.xyz/iptv.php?id=20115
天映经典台,https://cdn.iptv8k.top/dl/jrys.php?id=71&time=20240926215313&ip=111.229.253.40
天映经典台,https://migu.188766.xyz/?migutoken=3637f4ae3861b554c9b368728cc8b391&id=Celestial2&type=dy
天映经典台,http://php.jdshipin.com/smt.php?id=Celestial2
天映经典台,https://migu.188766.xyz/?migutoken=7ab310bc33a13445fa804c274e1bd934&id=Celestial2&type=dy
天映经典台,http://iptv.4666888.xyz/iptv.php?id=20114
天映经典台,https://stream1.freetv.fun/tian-ying-jing-dian-3.m3u8
天映经典台,https://stream1.freetv.fun/tian-ying-jing-dian-5.m3u8
天映经典台,https://stream1.freetv.fun/tian-ying-jing-dian-7.m3u8
纬来日本台,http://iptv.4666888.xyz/iptv.php?id=20226
纬来体育,http://iptv.4666888.xyz/iptv.php?id=20225
纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport
纬来育乐,https://cdn.iptv8k.top/dl/jrys.php?id=289&time=20240926215313&ip=111.229.253.40
纬来综合台,http://iptv.4666888.xyz/iptv.php?id=20228
无线18赛马,http://iptv.4666888.xyz/iptv.php?id=20125
无线翡翠,http://iptv.4666888.xyz/iptv.php?id=20066
无线翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct2
无线翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
无线翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
无线翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
无线翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct
无线翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=fct
无线翡翠,http://php.jdshipin.com/smt.php?id=jade_twn
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
无线华丽,http://php.jdshipin.com/PLTV/iptv.php?id=huali
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽台,http://php.jdshipin.com:8880/smt.php?id=Wlt
无线明珠,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
无线明珠,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
无线明珠,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
无线明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
无线明珠英标,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
无线千禧,http://iptv.4666888.xyz/iptv.php?id=20105
无线千禧,http://php.jdshipin.com/PLTV/iptv.php?id=tvbc
无线千禧,http://php.jdshipin.com/smt.php?id=Tvbclassic
无线赛马[716p],http://bxtv.3a.ink/api.php?id=18
无线新闻台,https://migu.188766.xyz/?migutoken=35e96622b36adb0dba0eff1bcc60efe2&id=inews_twn&type=dy
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
无线娱乐,http://iptv.4666888.xyz/iptv.php?id=20073
无线娱乐,http://php.jdshipin.com/PLTV/iptv.php?id=tvbylxw
无线娱乐,http://php.jdshipin.com/smt.php?id=Tvbentertainment
中视,http://iptv.4666888.xyz/iptv.php?id=20183
中视,https://stream1.freetv.fun/zhong-shi-6.m3u8
中视,https://stream1.freetv.fun/zhong-shi-8.m3u8
中视经典台,http://iptv.4666888.xyz/iptv.php?id=20221
中视新闻台,http://iptv.4666888.xyz/iptv.php?id=20171
中天CTI,http://iptv.4666888.xyz/iptv.php?id=20181
中天新闻*,https://stream1.freetv.fun/zhong-tian-xin-wen-4.m3u8
中天新闻台,http://iptv.4666888.xyz/iptv.php?id=20173
中天综合台,http://iptv.4666888.xyz/iptv.php?id=20195
猪哥亮音乐秀,http://iptv.4666888.xyz/iptv.php?id=20317
